person,personLabel,university,universityLabel,birthplaceLabel,country,countryLabel,organisationLabel,yearfoundedLabel
http://www.wikidata.org/entity/Q887379,Bo Giertz,http://www.wikidata.org/entity/Q185246,Uppsala University,Q10658484,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1354090,Eric Ragnor Sventenius,http://www.wikidata.org/entity/Q218506,Lund University,Sweden,http://www.wikidata.org/entity/Q29,Spain,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q2182806,Axel Leijonhufvud,http://www.wikidata.org/entity/Q218506,Lund University,Stockholm,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q887342,Bo Bergman,http://www.wikidata.org/entity/Q185246,Uppsala University,Klara church Parish,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q858518,Carl Stål,http://www.wikidata.org/entity/Q185246,Uppsala University,Karlberg Palace,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2742465,Einar Naumann,http://www.wikidata.org/entity/Q218506,Lund University,Q10532589,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q1033656,Hans Alfredson,http://www.wikidata.org/entity/Q218506,Lund University,Malmö,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q763914,Gustaf Åkerman,http://www.wikidata.org/entity/Q185246,Uppsala University,Stockholm,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1353853,Erik Holmberg,http://www.wikidata.org/entity/Q218506,Lund University,Skillingaryd,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q2500507,Jonas Carlsson Dryander,http://www.wikidata.org/entity/Q218506,Lund University,Gothenburg,http://www.wikidata.org/entity/Q145,United Kingdom,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q3049579,Rolf Dahlgren,http://www.wikidata.org/entity/Q218506,Lund University,Copenhagen,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q899564,Gustaf Erik Pasch,http://www.wikidata.org/entity/Q185246,Uppsala University,Norrköping,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1348320,Nils Christoffer Dunér,http://www.wikidata.org/entity/Q218506,Lund University,Billeberga parish,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q1455014,Frej Ossiannilsson,http://www.wikidata.org/entity/Q218506,Lund University,Helsingborg,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q1387688,Gunnar Malmquist,http://www.wikidata.org/entity/Q218506,Lund University,Ystad,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q2428829,Thor Stenbeck,http://www.wikidata.org/entity/Q218506,Lund University,Övraby,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q720861,Pehr Wilhelm Wargentin,http://www.wikidata.org/entity/Q185246,Uppsala University,Sunne,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2448370,Bo Lundgren,http://www.wikidata.org/entity/Q218506,Lund University,Kristianstad,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q1279969,Lars Olofsson,http://www.wikidata.org/entity/Q218506,Lund University,Kristianstad,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q721401,Elias Wessén,http://www.wikidata.org/entity/Q185246,Uppsala University,Q10562508,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1733262,Karl Vennberg,http://www.wikidata.org/entity/Q218506,Lund University,Q10431628,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q727463,Per Collinder,http://www.wikidata.org/entity/Q185246,Uppsala University,Sundsvall,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q725260,Hugo von Zeipel,http://www.wikidata.org/entity/Q185246,Uppsala University,Österhaninge church parish,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q991437,Anna Gustafsson Chen,http://www.wikidata.org/entity/Q218506,Lund University,Sweden,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q1357206,Gunnar Hökmark,http://www.wikidata.org/entity/Q218506,Lund University,Ystad,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q792205,Axel Hägerström,http://www.wikidata.org/entity/Q185246,Uppsala University,Q10715935,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q791977,Axel Gustav Adlercreutz,http://www.wikidata.org/entity/Q185246,Uppsala University,Skara,http://www.wikidata.org/entity/Q34,Sweden,Uppsala Municipality,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6240632,Lasse Wierup,http://www.wikidata.org/entity/Q218506,Lund University,Röstånga,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q6205460,Elof Tegnér,http://www.wikidata.org/entity/Q218506,Lund University,Q18291575,http://www.wikidata.org/entity/Q34,Sweden,Lund Municipality,1666-12-19T00:00:00Z
